x-axis,2,3
second,Volt,Volt
-20.00000E+00,,
-19.98438E+00,+10.13E-03,+2.25874E+00
-19.96875E+00,+10.13E-03,+2.25849E+00
-19.95313E+00,+10.13E-03,+2.25874E+00
-19.93750E+00,+10.13E-03,+2.25874E+00
-19.92188E+00,+10.13E-03,+2.25899E+00
-19.90625E+00,+10.13E-03,+2.25924E+00
-19.89063E+00,+10.13E-03,+2.25899E+00
-19.87500E+00,+10.13E-03,+2.25924E+00
-19.85938E+00,+10.13E-03,+2.25899E+00
-19.84375E+00,+10.13E-03,+2.25924E+00
-19.82813E+00,+10.13E-03,+2.25924E+00
-19.81250E+00,+10.13E-03,+2.25949E+00
-19.79688E+00,+10.13E-03,+2.25949E+00
-19.78125E+00,+10.13E-03,+2.25924E+00
-19.76563E+00,+10.13E-03,+2.25974E+00
-19.75000E+00,+10.13E-03,+2.25949E+00
-19.73438E+00,+10.13E-03,+2.25949E+00
-19.71875E+00,+10.13E-03,+2.25949E+00
-19.70313E+00,+10.13E-03,+2.25949E+00
-19.68750E+00,+10.13E-03,+2.25974E+00
-19.67188E+00,+10.13E-03,+2.25974E+00
-19.65625E+00,+4.75133E+00,+2.26703E+00
-19.64063E+00,+4.96490E+00,+2.27758E+00
-19.62500E+00,+4.96490E+00,+2.29341E+00
-19.60938E+00,+4.96490E+00,+2.30974E+00
-19.59375E+00,+4.96490E+00,+2.32532E+00
-19.57813E+00,+4.96490E+00,+2.34015E+00
-19.56250E+00,+4.96742E+00,+2.35397E+00
-19.54688E+00,+4.96742E+00,+2.36728E+00
-19.53125E+00,+4.96742E+00,+2.37984E+00
-19.51563E+00,+4.96742E+00,+2.39216E+00
-19.50000E+00,+4.96742E+00,+2.40371E+00
-19.48438E+00,+4.96742E+00,+2.41502E+00
-19.46875E+00,+4.96742E+00,+2.42557E+00
-19.45313E+00,+4.96490E+00,+2.43587E+00
-19.43750E+00,+4.96490E+00,+2.44542E+00
-19.42188E+00,+4.96490E+00,+2.45497E+00
-19.40625E+00,+4.96742E+00,+2.46376E+00
-19.39063E+00,+4.96490E+00,+2.47231E+00
-19.37500E+00,+4.96490E+00,+2.48010E+00
-19.35938E+00,+4.96490E+00,+2.48763E+00
-19.34375E+00,+4.96490E+00,+2.49517E+00
-19.32813E+00,+4.96490E+00,+2.50196E+00
-19.31250E+00,+4.96490E+00,+2.50824E+00
-19.29688E+00,+4.96490E+00,+2.51477E+00
-19.28125E+00,+4.96490E+00,+2.52055E+00
-19.26563E+00,+4.96490E+00,+2.52608E+00
-19.25000E+00,+4.96742E+00,+2.53160E+00
-19.23438E+00,+4.96490E+00,+2.53688E+00
-19.21875E+00,+4.96490E+00,+2.54165E+00
-19.20313E+00,+4.96490E+00,+2.54618E+00
-19.18750E+00,+4.96490E+00,+2.55045E+00
-19.17188E+00,+4.96742E+00,+2.55497E+00
-19.15625E+00,+4.96742E+00,+2.55874E+00
-19.14063E+00,+4.96742E+00,+2.56251E+00
-19.12500E+00,+4.96742E+00,+2.56653E+00
-19.10938E+00,+4.96742E+00,+2.57005E+00
-19.09375E+00,+4.96742E+00,+2.57331E+00
-19.07813E+00,+4.96490E+00,+2.57658E+00
-19.06250E+00,+4.96742E+00,+2.58010E+00
-19.04688E+00,+4.96742E+00,+2.58286E+00
-19.03125E+00,+4.96490E+00,+2.58587E+00
-19.01563E+00,+4.96490E+00,+2.58839E+00
-19.00000E+00,+4.96742E+00,+2.59115E+00
-18.98438E+00,+4.96742E+00,+2.59366E+00
-18.96875E+00,+4.96742E+00,+2.59618E+00
-18.95313E+00,+4.96742E+00,+2.59844E+00
-18.93750E+00,+4.96490E+00,+2.60095E+00
-18.92188E+00,+4.96742E+00,+2.60296E+00
-18.90625E+00,+4.96490E+00,+2.60497E+00
-18.89063E+00,+4.96490E+00,+2.60723E+00
-18.87500E+00,+4.96490E+00,+2.60899E+00
-18.85938E+00,+4.96490E+00,+2.61100E+00
-18.84375E+00,+4.96490E+00,+2.61276E+00
-18.82813E+00,+4.96490E+00,+2.61427E+00
-18.81250E+00,+4.96490E+00,+2.61603E+00
-18.79688E+00,+4.96490E+00,+2.61778E+00
-18.78125E+00,+4.96490E+00,+2.61904E+00
-18.76563E+00,+4.96490E+00,+2.62055E+00
-18.75000E+00,+4.96490E+00,+2.62206E+00
-18.73438E+00,+4.96490E+00,+2.62356E+00
-18.71875E+00,+4.96490E+00,+2.62482E+00
-18.70313E+00,+4.96742E+00,+2.62608E+00
-18.68750E+00,+4.96742E+00,+2.62733E+00
-18.67188E+00,+4.96490E+00,+2.62834E+00
-18.65625E+00,+4.96742E+00,+2.62934E+00
-18.64063E+00,+4.96742E+00,+2.63035E+00
-18.62500E+00,+4.96742E+00,+2.63135E+00
-18.60938E+00,+4.96490E+00,+2.63211E+00
-18.59375E+00,+4.96490E+00,+2.63311E+00
-18.57813E+00,+4.96490E+00,+2.63412E+00
-18.56250E+00,+4.96490E+00,+2.63487E+00
-18.54688E+00,+4.96742E+00,+2.63562E+00
-18.53125E+00,+4.96742E+00,+2.63638E+00
-18.51563E+00,+4.96490E+00,+2.63713E+00
-18.50000E+00,+4.96490E+00,+2.63788E+00
-18.48438E+00,+4.96490E+00,+2.63839E+00
-18.46875E+00,+4.96490E+00,+2.63914E+00
-18.45313E+00,+4.96742E+00,+2.63989E+00
-18.43750E+00,+4.96742E+00,+2.64040E+00
-18.42188E+00,+4.96742E+00,+2.64090E+00
-18.40625E+00,+4.96742E+00,+2.64140E+00
-18.39063E+00,+4.96742E+00,+2.64190E+00
